level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	842	1200	-1	
2	1	1	0	0	0	324	60	157	24	-1	
3	1	1	1	0	0	324	60	157	24	-1	
4	1	1	1	1	0	324	60	157	24	-1	
5	1	1	1	1	1	324	62	94	22	96.652664	Oktober
5	1	1	1	1	2	426	60	55	21	91.695122	2023
2	1	2	0	0	0	257	107	306	38	-1	
3	1	2	1	0	0	257	107	306	38	-1	
4	1	2	1	1	0	257	107	306	38	-1	
5	1	2	1	1	1	257	115	112	29	90.774643	Kwartel
5	1	2	1	1	2	383	137	3	8	90.434219	,
5	1	2	1	1	3	399	111	84	30	90.434219	witlof,
5	1	2	1	1	4	497	107	66	28	92.300499	druif
2	1	3	0	0	0	353	190	117	22	-1	
3	1	3	1	0	0	353	190	117	22	-1	
4	1	3	1	1	0	353	190	117	22	-1	
5	1	3	1	1	1	353	190	117	22	92.732513	Voorgerecht
2	1	4	0	0	0	621	258	12	1	-1	
3	1	4	1	0	0	621	258	12	1	-1	
4	1	4	1	1	0	621	258	12	1	-1	
5	1	4	1	1	1	621	258	12	1	30.810760	a
2	1	5	0	0	0	635	257	13	1	-1	
3	1	5	1	0	0	635	257	13	1	-1	
4	1	5	1	1	0	635	257	13	1	-1	
5	1	5	1	1	1	635	257	13	1	44.382324	a
2	1	6	0	0	0	666	254	30	2	-1	
3	1	6	1	0	0	666	254	30	2	-1	
4	1	6	1	1	0	666	254	30	2	-1	
5	1	6	1	1	1	666	254	30	2	66.308800	=
2	1	7	0	0	0	298	252	210	23	-1	
3	1	7	1	0	0	298	252	210	23	-1	
4	1	7	1	1	0	298	252	210	23	-1	
5	1	7	1	1	1	298	256	93	19	91.316498	Ingrediénten
5	1	7	1	1	2	397	256	32	11	96.243179	voor
5	1	7	1	1	3	436	252	16	13	82.662109	10
5	1	7	1	1	4	459	252	49	16	67.009956	person
2	1	8	0	0	0	530	270	31	10	-1	
3	1	8	1	0	0	530	270	31	10	-1	
4	1	8	1	1	0	530	270	31	10	-1	
